ProjectID_to_retrieve,ProjectSustainCERTID
4627,12667
4626,12961
4625,12953
4624,12969
4623,12850
4622,12852
4621,12862
4620,12867
4619,12863
4618,12864
4617,12861
4616,12869
4615,12866
4614,12868
4613,12865
4612,12941
4611,12933
4610,12932
4609,12931
4608,12877
4607,12447
4606,12588
4605,12807
4604,12783
4603,12171
4602,12888
4601,12962
4600,12958
4599,12906
4598,12832
4597,12940
4596,12835
4595,12875
4594,12819
4593,12871
4592,12855
4591,12834
4590,12856
4589,12910
4588,12498
4587,12499
4586,12689
4585,12323
4584,12880
4583,12826
4582,12577
4581,12815
4580,12813
4579,12814
4578,12461
4577,12460
4576,12459
4575,12578
4574,12662
4573,12661
4572,12660
4571,12659
4570,12658
4569,12657
4568,12656
4567,12655
4566,12654
4565,12653
4564,12663
4563,12828
4562,12833
4561,12423
4560,12647
4559,12534
4558,12646
4557,12801
4556,12839
4555,12841
4554,12842
4553,12843
4552,12845
4551,12859
4550,12938
4549,12614
4548,12844
4547,12785
4546,12335
4545,12334
4544,12333
4543,12685
4542,12455
4541,12836
4540,12203
4539,12768
4538,12056
4537,12454
4536,12806
4535,12633
4534,12634
4533,12632
4532,12635
4531,12209
4530,12571
4529,12812
4528,12811
4527,12810
4526,12790
4525,12789
4524,12420
4523,12619
4522,12601
4521,12547
4520,12694
4519,12693
4518,12799
4517,12772
4516,12771
4515,12600
4514,12670
4513,12672
4512,12624
4511,12677
4510,12602
4509,12675
4508,11663
4507,11664
4506,11665
4505,11986
4504,11987
4503,12720
4502,12786
4501,12666
4500,12683
4499,12570
4498,12315
4497,12340
4496,12775
4495,11689
4494,11690
4493,11688
4492,12621
4491,12638
4490,12567
4489,12589
4488,12490
4487,12592
4486,12591
4485,12226
4484,12163
4483,12470
4482,12620
4481,12469
4480,12628
4479,12626
4478,12627
4477,12605
4476,12639
4475,12640
4474,12641
4473,12642
4472,12643
4471,12644
4470,12665
4469,12314
4468,12637
4467,12246
4466,12247
4465,12102
4464,12668
4463,12618
4462,12617
4461,12616
4460,12510
4459,12511
4458,12629
4457,12496
4456,12568
4455,12576
4454,12615
4453,12290
4452,12313
4451,12506
4450,12533
4449,12486
4448,12491
4447,12505
4446,12512
4445,12497
4444,12492
4443,12351
4442,12300
4441,12299
4440,12522
4439,12521
4438,12223
4437,12221
4436,12536
4435,12444
4434,12443
4433,11569
4432,12507
4431,12509
4430,12514
4429,12515
4428,12517
4427,12437
4426,12217
4425,12482
4424,12540
4423,12541
4422,12383
4421,12382
4420,12494
4419,12495
4418,12523
4417,12463
4416,12479
4415,12546
4414,12535
4413,12440
4412,12464
4411,12488
4410,12487
4409,12327
4408,12273
4407,12264
4406,12255
4405,12199
4404,12205
4403,12471
4402,12434
4401,12435
4400,12306
4399,12305
4398,12276
4397,12352
4396,12360
4395,12468
4394,12353
4393,12348
4392,12338
4391,12467
4390,12296
4389,12295
4388,12286
4387,12283
4386,12282
4385,12238
4384,12474
4383,12240
4382,12239
4381,12448
4380,12493
4379,12439
4378,12216
4377,12215
4376,12191
4375,12332
4374,12331
4373,12330
4372,12214
4371,12207
4370,12462
4369,12329
4368,12153
4367,12438
4366,12232
4365,12225
4364,12441
4363,12446
4362,12445
4361,12442
4360,12384
4359,12326
4358,12433
4357,12432
4356,12431
4355,12430
4354,12429
4353,12428
4352,12427
4351,12426
4350,12425
4349,12424
4348,12380
4347,12317
4346,12316
4345,12385
4344,12386
4343,12387
4342,12388
4341,12350
4340,12458
4339,12390
4338,12391
4337,12392
4336,12393
4335,12394
4334,12395
4333,12396
4332,12397
4331,12398
4330,12399
4329,12400
4328,12401
4327,12402
4326,12403
4325,12404
4324,12405
4323,12406
4322,12407
4321,12408
4320,12409
4319,12410
4318,12411
4317,12412
4316,12413
4315,12414
4314,12415
4313,12416
4312,12417
4311,12418
4310,12419
4309,12342
4308,12343
4307,12344
4306,12339
4305,12357
4304,12358
4303,12377
4302,12379
4301,12011
4300,12346
4299,12347
4298,12345
4297,12354
4296,12242
4295,12230
4294,12373
4293,12210
4292,12363
4291,12362
4290,12285
4289,12133
4288,11546
4287,12364
4286,12365
4285,12366
4284,12367
4283,12368
4282,12369
4281,12370
4280,12372
4279,12371
4278,12202
4277,12356
4276,12234
4275,11714
4274,11540
4273,12241
4272,12279
4271,12278
4270,12277
4269,12204
4268,12322
4267,12078
4266,12319
4265,12082
4264,12293
4263,12292
4262,11691
4261,11692
4260,11693
4259,12250
4258,12307
4257,12324
4256,12303
4255,12137
4254,12281
4253,12289
4252,12140
4251,12097
4250,12312
4249,12185
4248,12218
4247,12311
4246,12224
4245,12287
4244,12201
4243,12304
4242,12188
4241,12244
4240,12187
4239,12198
4238,12100
4237,12291
4236,12302
4235,12252
4234,12258
4233,12256
4232,12257
4231,12263
4230,12266
4229,12267
4228,12269
4227,12253
4226,12254
4225,12268
4224,12260
4223,12261
4222,12265
4221,12270
4220,12262
4219,12251
4218,12259
4217,12272
4216,12274
4215,12271
4214,12275
4213,12219
4212,12220
4211,12243
4210,12167
4209,12310
4208,12309
4207,12308
4206,12208
4205,12236
4204,11982
4203,12136
4202,12193
4201,12098
4200,12099
4199,12169
4198,12115
4197,11670
4196,12200
4195,12031
4194,12030
4193,12071
4192,11854
4191,12070
4190,12080
4189,12010
4188,12009
4187,12008
4186,12007
4185,12006
4184,12005
4183,12004
4182,12003
4181,12002
4180,12190
4179,12189
4178,12233
4177,12231
4176,12228
4175,12227
4174,12105
4173,12168
4172,12020
4171,12144
4170,12019
4169,12147
4168,12164
4167,12018
4166,12197
4165,12017
4164,11988
4163,12112
4162,11777
4161,11776
4160,11775
4159,11807
4158,11784
4157,11783
4156,11782
4155,11781
4154,11780
4153,11779
4152,11778
4151,11774
4150,11773
4149,11772
4148,11771
4147,11770
4146,11769
4145,11767
4144,11766
4143,11765
4142,12213
4141,12212
4140,12165
4139,12122
4138,12121
4137,12120
4136,12119
4135,11901
4134,11985
4133,12172
4132,12179
4131,12181
4130,12177
4129,12180
4128,12176
4127,12178
4126,12174
4125,12175
4124,11726
4123,12068
4122,12195
4121,12194
4120,12142
4119,12065
4118,12173
4117,12148
4116,11998
4115,11999
4114,12000
4113,12001
4112,12196
4111,12118
4110,12138
4109,12087
4108,12088
4107,12027
4106,11857
4105,12135
4104,12186
4103,11550
4102,12158
4101,12157
4100,12156
4099,12103
4098,12155
4097,12160
4096,12134
4095,12062
4094,11743
4093,12051
4092,11768
4091,12146
4090,12053
4089,12130
4088,12123
4087,12124
4086,12129
4085,12128
4084,12127
4083,12126
4082,12125
4081,12131
4080,12132
4079,12141
4078,12116
4077,12058
4076,12067
4075,12066
4074,11996
4073,11949
4072,12090
4071,12111
4070,12161
4069,12046
4068,12113
4067,11899
4066,12095
4065,12094
4064,12114
4063,12143
4062,12049
4061,12083
4060,12089
4059,12081
4058,11866
4057,11865
4056,12079
4055,12036
4054,12117
4053,12024
4052,11873
4051,12154
4050,12074
4049,11960
4048,12047
4047,12045
4046,11856
4045,11798
4044,12091
4043,12057
4042,12096
4041,11898
4040,11897
4039,11896
4038,11895
4037,11894
4010,11980
4009,11954
4008,11952
4007,11981
4006,11951
4005,11953
4004,11950
4003,12042
4002,12040
4001,12041
4000,12039
3999,12038
3998,12037
3997,12069
3996,11818
3995,11995
3994,11947
3993,12064
3992,12063
3991,12084
3990,12092
3989,11874
3988,11994
3987,11993
3986,11860
3985,12033
3984,12035
3983,12034
3982,12025
3981,11979
3980,12014
3979,12023
3978,12022
3977,12076
3976,12077
3975,12054
3974,12043
3973,12044
3972,12050
3971,12052
3970,11675
3969,11948
3968,12048
3967,12016
3966,12026
3965,11991
3964,11989
3963,11990
3962,11945
3961,11890
3960,11889
3959,11888
3958,11887
3957,11886
3956,11885
3955,11884
3954,11883
3953,11882
3952,11881
3951,11880
3950,11879
3949,12075
3948,11621
3947,11561
3946,11932
3945,11917
3944,11918
3943,11919
3942,11920
3941,11921
3940,11922
3939,11923
3938,11924
3937,11925
3936,11926
3935,11927
3934,11928
3933,11929
3932,11930
3931,11931
3930,11916
3929,11915
3928,11914
3927,11913
3926,11912
3925,11911
3924,11910
3923,11909
3922,11908
3921,11907
3920,11906
3919,11905
3918,11904
3917,11903
3916,11902
3915,11677
3914,11736
3913,12073
3912,11992
3911,11983
3910,11984
3909,11970
3908,11725
3907,12032
3906,11942
3905,11956
3904,11955
3903,11728
3902,11654
3901,11969
3900,11863
3899,11933
3898,11892
3897,11891
3896,11685
3895,11684
3894,11972
3893,11636
3860,12015
3859,11864
3858,11660
3857,11658
3856,11855
3855,11943
3854,11944
3853,11722
3852,11936
3851,11578
3850,11704
3849,11703
3848,11701
3847,11706
3846,11700
3845,11705
3844,11699
3843,11702
3842,11698
3841,11697
3840,11815
3839,11816
3838,11817
3837,11616
3836,11619
3835,11618
3834,11617
3833,11672
3832,11673
3831,11968
3830,11708
3829,11547
3828,11548
3827,11549
3826,11762
3825,11764
3824,11759
3823,11763
3822,11758
3821,11761
3820,11757
3819,11760
3818,11756
3817,11753
3816,11755
3815,11752
3814,11754
3813,11750
3812,11751
3811,11749
3810,11748
3809,11745
3808,11747
3807,11744
3806,11835
3805,11836
3804,11837
3803,11838
3802,11839
3801,11840
3800,11841
3799,11842
3798,11843
3797,11844
3796,11845
3795,11846
3794,11847
3793,11849
3792,11848
3791,11850
3790,11851
3789,11852
3788,11853
3787,11721
3786,11875
3785,11709
3784,11662
3783,11648
3782,11570
3781,11572
3780,11571
3779,11469
3778,11941
3777,11935
3776,11598
3775,11893
3774,11934
3773,11694
3772,11671
3771,11790
3770,11813
3769,11528
3768,11534
3767,11533
3766,11532
3765,11531
3764,11530
3763,11529
3762,11527
3761,11526
3760,11525
3759,11524
3758,11523
3757,11522
3756,11521
3755,11520
3754,11519
3753,11518
3752,11517
3751,11516
3750,11515
3749,11514
3748,11513
3747,11719
3746,11861
3745,11600
3744,11657
3743,11812
3742,11810
3741,11811
3740,11809
3739,11808
3738,11792
3737,11878
3736,11877
3735,11876
3734,11729
3733,11802
3732,11574
3731,11786
3730,11787
3729,11788
3728,11789
3727,11785
3726,11682
3725,11695
3724,11696
3723,11730
3690,11731
3689,11732
3688,11739
3687,11740
3686,11741
3685,11638
3684,11567
3683,11724
3682,11643
3681,11586
3680,11585
3679,11584
3678,11583
3677,11582
3676,11581
3675,11580
3674,11579
3673,11667
3672,11614
3670,11613
3669,11612
3668,11611
3667,11610
3666,11609
3665,11608
3664,11607
3663,11454
3662,11445
3661,11627
3660,11568
3659,11652
3658,11566
3657,11603
3656,11656
3655,11655
3654,11605
3653,11606
3652,11557
3651,11604
3650,11565
3649,11596
3648,11644
3647,11646
3646,11645
3645,11720
3644,11712
3643,11647
3642,11659
3641,11488
3640,11653
3639,11640
3638,11639
3637,11544
3636,11674
3635,11545
3634,11551
3633,11679
3632,11623
3631,11573
3598,11624
3597,11535
3596,11707
3595,11634
3594,11633
3593,11632
3592,11631
3591,11630
3590,11629
3589,11628
3588,11507
3587,11506
3586,11594
3585,11472
3584,11552
3583,11537
3582,11494
3581,11505
3580,11495
3579,11496
3578,11497
3577,11498
3576,11499
3575,11500
3574,11501
3573,11502
3572,11503
3571,11504
3570,11493
3569,11492
3568,11491
3567,11490
3566,11486
3565,11485
3564,11484
3563,11483
3562,11482
3561,11481
3560,11480
3559,11479
3558,11478
3557,11477
3556,11476
3555,11475
3554,11489
3553,11448
3552,11462
3551,11538
3550,11564
3549,11577
3548,11543
3547,11474
3546,11620
3545,11563
3544,11508
3543,11509
3510,11466
3509,11558
3508,11556
3507,11560
3506,11559
3505,11595
3504,11593
3503,11451
3502,11452
3501,11450
3500,11539
3499,11471
3498,11467
3497,11455
3496,11447
3463,11070
3462,11441
3461,11440
3460,11439
3459,11438
3458,11437
3457,11436
3456,11435
3455,11434
3454,11433
3453,11432
3448,11427
3447,11426
3446,11425
3445,11424
3444,11423
3443,11422
3442,11421
3441,11420
3440,11419
3439,11418
3438,11417
3437,11416
3436,11415
3435,11414
3434,11413
3433,11412
3432,11411
3431,11410
3430,11409
3429,11408
3428,11407
3426,11405
3425,11404
3424,11403
3423,11402
3422,11401
3421,11400
3419,11398
3418,11397
3416,11395
3415,11394
3382,11393
3381,11392
3380,11359
3379,11358
3378,11357
3377,11356
3376,11355
3375,11354
3374,11353
3373,11352
3372,11351
3371,11350
3370,11349
3365,11344
3364,11343
3362,11341
3360,11339
3359,11338
3358,11337
3357,11336
3356,11335
3355,11334
3354,11333
3352,11331
3351,11330
3350,11329
3349,11328
3348,11327
3347,11326
3346,11325
3345,11324
3344,11323
3343,11322
3342,11321
3341,11320
3340,11319
3339,11318
3338,11317
3337,11316
3335,11314
3334,11313
3333,11312
3332,11311
3331,11310
3330,11309
3329,11308
3328,11307
3327,11306
3326,11305
3325,11304
3324,11303
3323,11302
3322,11301
3321,11300
3320,11299
3319,11298
3318,11297
3317,11296
3316,11295
3315,11294
3314,11293
3313,11292
3312,11291
3311,11290
3310,11289
3309,11288
3308,11287
3307,11286
3306,11285
3305,11284
3304,11283
3303,11282
3302,11281
3301,11280
3300,11279
3299,11278
3298,11277
3297,11276
3296,11275
3295,11274
3294,11273
3293,11272
3292,11271
3291,11270
3290,11269
3289,11268
3288,11267
3287,11266
3286,11265
3285,11264
3284,11263
3283,11262
3282,11261
3281,11260
3280,11259
3277,11256
3276,11255
3274,11253
3273,11252
3272,11251
3271,11250
3270,11249
3269,11248
3268,11247
3267,11246
3266,11245
3265,11244
3264,11243
3263,11242
3262,11241
3229,11240
3228,11239
3227,11238
3226,11237
3225,11236
3224,11235
3223,11234
3222,11233
3221,11232
3220,11231
3219,11230
3218,11229
3217,11228
3216,11227
3215,11226
3214,11225
3212,11223
3211,11222
3209,11220
3208,11219
3207,11218
3206,11217
3205,11216
3204,11215
3203,11214
3202,11213
3201,11212
3200,11211
3199,11210
3198,11209
3197,11208
3196,11207
3195,11206
3194,11205
3193,11204
3191,11203
3190,11202
3189,11201
3188,11200
3187,11199
3186,11198
3185,11197
3184,11196
3183,11195
3182,11194
3181,11193
3180,11192
3179,11191
3178,11190
3177,11189
3176,11188
3175,11187
3174,11186
3170,11183
3169,11182
3168,11181
3167,11180
3166,11179
3165,11178
3164,11177
3163,11176
3162,11175
3161,11174
3160,11173
3158,11171
3157,11170
3156,11169
3154,11167
3153,11166
3120,11165
3118,11163
3112,11157
3111,11156
3110,11155
3109,11154
3108,11153
3107,11152
3106,11151
3105,11150
3104,11149
3103,11148
3102,11147
3101,11146
3100,11145
3099,11144
3098,11143
3097,11142
3096,11141
3095,11140
3094,11139
3093,11138
3092,11137
3091,11136
3090,11135
3089,11134
3088,11133
3086,11131
3085,11098
3083,11096
3082,11095
3081,11094
3080,11093
3079,11092
3078,11091
3077,11090
3076,11089
3075,11088
3074,11087
3073,11086
3072,11085
3071,11084
3070,11083
3069,11082
3068,11081
3067,11080
3066,11079
3065,11078
3064,11077
3063,11076
3062,11075
3061,11074
3060,11073
3059,11072
3058,11071
3056,11068
3055,11067
3054,11066
3053,11065
3052,11064
3051,11063
3050,11062
3049,11061
3048,11060
3047,11059
3046,11058
3045,11057
3044,11056
3043,11055
3042,11054
3041,11053
3039,11051
3038,11050
3037,11049
3036,11048
3035,11047
3034,11046
3032,11044
3031,11043
3030,11042
3029,11041
3024,11036
3023,11035
3022,11034
3021,11033
3020,11032
3019,11031
3018,11030
3017,11029
2987,11028
2986,11027
2985,11026
2984,11025
2983,11024
2982,11023
2981,11022
2980,11021
2979,11020
2978,11019
2977,11018
2976,11017
2975,11016
2974,11015
2973,11014
2972,11013
2971,11012
2970,11011
2969,11010
2968,11009
2967,11008
2966,11007
2965,11006
2964,11005
2963,11004
2962,11003
2961,11002
2960,11001
2959,11000
2958,10999
2957,10998
2956,10997
2955,10996
2954,10995
2953,10994
2952,10993
2951,10992
2950,10991
2949,10990
2948,10989
2947,10988
2946,10987
2945,10986
2944,10985
2943,10984
2941,10982
2940,10981
2939,10980
2938,10979
2937,10978
2936,10977
2935,10976
2934,10975
2933,10974
2931,10972
2930,10971
2929,10970
2928,10969
2927,10968
2926,10967
2925,10966
2924,10965
2923,10964
2922,10963
2921,10962
2920,10961
2918,10959
2917,10928
2916,10927
2915,10926
2914,10925
2913,10924
2912,10923
2911,10922
2910,10921
2909,10920
2908,10919
2907,10918
2906,10917
2905,10916
2904,10915
2903,10914
2902,10913
2901,10912
2900,10911
2899,10910
2898,10909
2897,10908
2896,10907
2895,10906
2894,10905
2893,10904
2892,10903
2891,10901
2890,10902
2889,10900
2888,10899
2887,10898
2886,10897
2885,10896
2879,10890
2878,10889
2877,10888
2876,10887
2843,10886
2842,10885
2841,10884
2836,10879
2835,10878
2834,10877
2833,10876
2832,10875
2831,10874
2830,10873
2829,10872
2826,10869
2825,10868
2824,10867
2823,10866
2822,10833
2821,10832
2820,10831
2819,10830
2818,10829
2817,10828
2816,10827
2815,10826
2814,10825
2781,10824
2780,10823
2779,10822
2778,10821
2777,10820
2775,10818
2770,10813
2769,10812
2768,10811
2767,10810
2766,10809
2765,10808
2764,10807
2763,10806
2762,10805
2761,10804
2760,10803
2759,10802
2758,10801
2757,10800
2756,10799
2755,10798
2754,10797
2753,10796
2752,10795
2751,10794
2750,10793
2749,10792
2748,10791
2747,10790
2746,10789
2745,10788
2744,10787
2742,10785
2741,10784
2740,10783
2739,10782
2738,10781
2737,10780
2736,10779
2735,10778
2734,10777
2733,10776
2731,10742
2730,10741
2729,10740
2728,10739
2727,10738
2726,10737
2725,10736
2724,10735
2692,10734
2691,10733
2690,10732
2689,10731
2688,10730
2687,10729
2686,10728
2685,10727
2684,10726
2683,10725
2680,10722
2679,10721
2678,10720
2677,10719
2676,10718
2675,10717
2674,10716
2673,10715
2672,10714
2671,10713
2670,10712
2669,10711
2668,10710
2667,10677
2666,10676
2665,10675
2664,10674
2662,10672
2661,10671
2660,10670
2659,10669
2658,10668
2657,10667
2656,10666
2655,10665
2654,10664
2653,10663
2652,10662
2651,10661
2649,10659
2648,10658
2647,10657
2646,10656
2645,7801
2644,7800
2643,7799
2642,7798
2641,7797
2640,7796
2639,7795
2638,7794
2637,7793
2636,7792
2635,7791
2634,7790
2633,7789
2632,7788
2631,7787
2630,7786
2628,10655
2627,7784
2626,7783
2625,7781
2621,7776
2620,7774
2619,7775
2608,7763
2607,7762
2606,7761
2605,7760
2603,7758
2602,7757
2601,7756
2600,7755
2598,7754
2597,7752
2596,7751
2595,7750
2594,7749
2593,7748
2592,7747
2591,7746
2590,7745
2589,7744
2588,7743
2587,7742
2586,7741
2585,7740
2584,7739
2583,7738
2582,7737
2581,7736
2580,7735
2579,7734
2578,7733
2577,7732
2576,7731
2572,7727
2571,7726
2570,7725
2569,7724
2568,7723
2567,7722
2566,7721
2565,7720
2564,7719
2563,7718
2562,7717
2561,7716
2560,7715
2559,7714
2558,7713
2557,7712
